"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 05 15:55:31 GMT 2024","Mon Aug 05 15:55:33 GMT 2024","2163","Evershop End to End Test","Firefox Execution","simtran.evershop.tests.testng.CategoryTests","simtran.evershop.tests.testng.CategoryTests","verifyProductCount","Category - Verify product count",""
"passed","Mon Aug 05 15:55:26 GMT 2024","Mon Aug 05 15:55:28 GMT 2024","2065","Evershop End to End Test","Chrome Execution","simtran.evershop.tests.testng.CategoryTests","simtran.evershop.tests.testng.CategoryTests","verifyOpeningCategoriesFromHomepage","Category - Verify opening categories from Homepage",""
"passed","Mon Aug 05 15:55:31 GMT 2024","Mon Aug 05 15:55:33 GMT 2024","2135","Evershop End to End Test","Chrome Execution","simtran.evershop.tests.testng.CategoryTests","simtran.evershop.tests.testng.CategoryTests","verifyProductCount","Category - Verify product count",""
"passed","Mon Aug 05 15:55:33 GMT 2024","Mon Aug 05 15:55:35 GMT 2024","1947","Evershop End to End Test","Chrome Execution","simtran.evershop.tests.testng.CategoryTests","simtran.evershop.tests.testng.CategoryTests","verifyProductCount","Category - Verify product count",""
"passed","Mon Aug 05 15:55:17 GMT 2024","Mon Aug 05 15:55:19 GMT 2024","2702","Evershop End to End Test","Firefox Execution","simtran.evershop.tests.testng.CategoryTests","simtran.evershop.tests.testng.CategoryTests","verifyOpeningCategoriesFromHomepage","Category - Verify opening categories from Homepage",""
"passed","Mon Aug 05 15:56:09 GMT 2024","Mon Aug 05 15:56:29 GMT 2024","19673","Evershop End to End Test","Firefox Execution","simtran.evershop.tests.testng.ProductDetailsTests","simtran.evershop.tests.testng.ProductDetailsTests","verifyOpeningProductDetailsPageFromCategoryPage","Product Details - Verify opening product details page from Category page",""
"passed","Mon Aug 05 15:55:27 GMT 2024","Mon Aug 05 15:55:29 GMT 2024","2106","Evershop End to End Test","Firefox Execution","simtran.evershop.tests.testng.CategoryTests","simtran.evershop.tests.testng.CategoryTests","verifyOpeningCategoriesFromHomepage","Category - Verify opening categories from Homepage",""
"passed","Mon Aug 05 15:55:21 GMT 2024","Mon Aug 05 15:55:23 GMT 2024","1967","Evershop End to End Test","Chrome Execution","simtran.evershop.tests.testng.CategoryTests","simtran.evershop.tests.testng.CategoryTests","verifyOpeningCategoriesFromHomepage","Category - Verify opening categories from Homepage",""
"passed","Mon Aug 05 15:55:36 GMT 2024","Mon Aug 05 15:55:39 GMT 2024","2819","Evershop End to End Test","Firefox Execution","simtran.evershop.tests.testng.CategoryTests","simtran.evershop.tests.testng.CategoryTests","verifyProductCount","Category - Verify product count",""
"broken","Mon Aug 05 15:56:18 GMT 2024","Mon Aug 05 15:56:22 GMT 2024","4354","Evershop End to End Test","Chrome Execution","simtran.evershop.tests.testng.ProductDetailsTests","simtran.evershop.tests.testng.ProductDetailsTests","verifyOpeningProductDetailsPageFromHomepage","Product Details - Verify opening product details page from Homepage",""
"passed","Mon Aug 05 15:55:57 GMT 2024","Mon Aug 05 15:56:07 GMT 2024","9480","Evershop End to End Test","Firefox Execution","simtran.evershop.tests.testng.CategoryTests","simtran.evershop.tests.testng.CategoryTests","verifySortingByPrice","Category - Verify sorting products by price",""
"passed","Mon Aug 05 15:55:22 GMT 2024","Mon Aug 05 15:55:25 GMT 2024","2128","Evershop End to End Test","Firefox Execution","simtran.evershop.tests.testng.CategoryTests","simtran.evershop.tests.testng.CategoryTests","verifyOpeningCategoriesFromHomepage","Category - Verify opening categories from Homepage",""
"passed","Mon Aug 05 15:55:46 GMT 2024","Mon Aug 05 15:55:54 GMT 2024","8846","Evershop End to End Test","Chrome Execution","simtran.evershop.tests.testng.CategoryTests","simtran.evershop.tests.testng.CategoryTests","verifySortingByPrice","Category - Verify sorting products by price",""
"broken","Mon Aug 05 15:56:38 GMT 2024","Mon Aug 05 15:56:42 GMT 2024","4855","Evershop End to End Test","Firefox Execution","simtran.evershop.tests.testng.ProductDetailsTests","simtran.evershop.tests.testng.ProductDetailsTests","verifyOpeningProductDetailsPageFromHomepage","Product Details - Verify opening product details page from Homepage",""
"passed","Mon Aug 05 15:55:12 GMT 2024","Mon Aug 05 15:55:17 GMT 2024","4738","Evershop End to End Test","Chrome Execution","simtran.evershop.tests.testng.LoginTests","simtran.evershop.tests.testng.LoginTests","verifyLoginUsingInvalidCredentials","Login - Verify logging in with invalid credentials",""
"passed","Mon Aug 05 15:55:45 GMT 2024","Mon Aug 05 15:55:55 GMT 2024","9846","Evershop End to End Test","Firefox Execution","simtran.evershop.tests.testng.CategoryTests","simtran.evershop.tests.testng.CategoryTests","verifySortingByName","Category - Verify sorting products by name",""
"passed","Mon Aug 05 15:55:55 GMT 2024","Mon Aug 05 15:56:13 GMT 2024","17974","Evershop End to End Test","Chrome Execution","simtran.evershop.tests.testng.ProductDetailsTests","simtran.evershop.tests.testng.ProductDetailsTests","verifyOpeningProductDetailsPageFromCategoryPage","Product Details - Verify opening product details page from Category page",""
"passed","Mon Aug 05 15:55:23 GMT 2024","Mon Aug 05 15:55:25 GMT 2024","2243","Evershop End to End Test","Chrome Execution","simtran.evershop.tests.testng.CategoryTests","simtran.evershop.tests.testng.CategoryTests","verifyOpeningCategoriesFromHomepage","Category - Verify opening categories from Homepage",""
"passed","Mon Aug 05 15:55:17 GMT 2024","Mon Aug 05 15:55:20 GMT 2024","3108","Evershop End to End Test","Chrome Execution","simtran.evershop.tests.testng.LoginTests","simtran.evershop.tests.testng.LoginTests","verifyLoginUsingValidCredentials","Login - Verify logging in with valid credential",""
"passed","Mon Aug 05 15:55:41 GMT 2024","Mon Aug 05 15:55:43 GMT 2024","2246","Evershop End to End Test","Firefox Execution","simtran.evershop.tests.testng.CategoryTests","simtran.evershop.tests.testng.CategoryTests","verifyProductCount","Category - Verify product count",""
"passed","Mon Aug 05 15:55:36 GMT 2024","Mon Aug 05 15:55:45 GMT 2024","9331","Evershop End to End Test","Chrome Execution","simtran.evershop.tests.testng.CategoryTests","simtran.evershop.tests.testng.CategoryTests","verifySortingByName","Category - Verify sorting products by name",""
"passed","Mon Aug 05 15:55:28 GMT 2024","Mon Aug 05 15:55:30 GMT 2024","1941","Evershop End to End Test","Chrome Execution","simtran.evershop.tests.testng.CategoryTests","simtran.evershop.tests.testng.CategoryTests","verifyProductCount","Category - Verify product count",""
